date,code,value
1945,CHN,0
1946,CHN,159
1947,CHN,667
1948,CHN,244
1949,CHN,310
1950,CHN,1130
1951,CHN,1960
1952,CHN,1940
1953,CHN,2370
1954,CHN,2440
1955,CHN,3140
1956,CHN,3210
1957,CHN,3110
1958,CHN,3870
1959,CHN,4380
1960,CHN,648
1961,CHN,1139
1962,CHN,2660
1963,CHN,2920
1964,CHN,3470
1965,CHN,4250
1966,CHN,4620
1967,CHN,4160
1968,CHN,4050
1969,CHN,4030
1970,CHN,4590
1971,CHN,4850
1972,CHN,6300
1973,CHN,10980
1974,CHN,14570
1975,CHN,14750
1976,CHN,13440
1977,CHN,14800
1978,CHN,20463
1979,CHN,29114
1980,CHN,37644
1981,CHN,43104
1982,CHN,40780
1983,CHN,43400
1984,CHN,50775
1985,CHN,69809
1986,CHN,74643
1987,CHN,82685
1988,CHN,103012
1989,CHN,112052
1990,CHN,116566
1991,CHN,135840
1992,CHN,167489
1993,CHN,195320
1994,CHN,236572
1995,CHN,281121
1996,CHN,290113
1997,CHN,325086
1998,CHN,324134
1999,CHN,718305
2000,CHN,894760
2001,CHN,906524
2002,CHN,1034427
2003,CHN,1313107
2004,CHN,1691629
2005,CHN,2018432
2006,CHN,2419640
2007,CHN,2895286
2008,CHN,3320018
2009,CHN,2877928
2010,CHN,3802631
2011,CHN,4562590
2012,CHN,4825363
2013,CHN,5154567
2014,CHN,5337731
1945,FRA,1526
1946,FRA,8176
1947,FRA,13849
1948,FRA,4980
1949,FRA,5370
1950,FRA,5480
1951,FRA,7520
1952,FRA,7140
1953,FRA,6820
1954,FRA,7400
1955,FRA,8730
1956,FRA,9340
1957,FRA,10400
1958,FRA,9950
1959,FRA,10090
1960,FRA,12978
1961,FRA,13744
1962,FRA,14714
1963,FRA,16632
1964,FRA,18894
1965,FRA,20225
1966,FRA,22676
1967,FRA,23675
1968,FRA,26583
1969,FRA,32676
1970,FRA,37099
1971,FRA,41957
1972,FRA,53301
1973,FRA,74166
1974,FRA,98922
1975,FRA,106824
1976,FRA,121226
1977,FRA,135146
1978,FRA,160749
1979,FRA,207160
1980,FRA,250311
1981,FRA,226854
1982,FRA,211905
1983,FRA,200366
1984,FRA,201422
1985,FRA,209422
1986,FRA,253607
1987,FRA,305875
1988,FRA,347828
1989,FRA,371245
1990,FRA,449437
1991,FRA,447541
1992,FRA,476542
1993,FRA,418254
1994,FRA,473278
1995,FRA,565800
1996,FRA,561542
1997,FRA,567009
1998,FRA,594024
1999,FRA,637347
2000,FRA,655344
2001,FRA,651498
2002,FRA,659431
2003,FRA,790744
2004,FRA,922626
2005,FRA,966673
2006,FRA,1037341
2007,FRA,1191071
2008,FRA,1334949
2009,FRA,1048386
2010,FRA,1112048
2011,FRA,1291861
2012,FRA,1217960
2013,FRA,1234507
2014,FRA,1233344
1945,GER,0
1946,GER,0
1947,GER,0
1948,GER,0
1949,GER,0
1950,GER,0
1951,GER,0
1952,GER,0
1953,GER,0
1954,GER,0
1955,GER,0
1956,GER,0
1957,GER,0
1958,GER,0
1959,GER,0
1960,GER,21394
1961,GER,23532
1962,GER,25475
1963,GER,27539
1964,GER,30811
1965,GER,35393
1966,GER,38302
1967,GER,39289
1968,GER,45182
1969,GER,54222
1970,GER,64186
1971,GER,73367
1972,GER,87113
1973,GER,122508
1974,GER,158812
1975,GER,165019
1976,GER,190061
1977,GER,219417
1978,GER,264403
1979,GER,331881
1980,GER,380847
1981,GER,339964
1982,GER,331790
1983,GER,322361
1984,GER,324714
1985,GER,342388
1986,GER,434367
1987,GER,522474
1988,GER,573890
1989,GER,611027
1990,GER,755694
1991,GER,793281
1992,GER,829184
1993,GER,694043
1994,GER,792985
1995,GER,953082
1996,GER,957309
1997,GER,947975
1998,GER,1004047
1999,GER,999846
2000,GER,1049177
2001,GER,1063114
2002,GER,1106697
2003,GER,1338660
2004,GER,1630052
2005,GER,1754026
2006,GER,2016347
2007,GER,2378035
2008,GER,2635017
2009,GER,2046415
2010,GER,2238415
2011,GER,2634037
2012,GER,2469563
2013,GER,2542670
2014,GER,2621429
1945,IND,0
1946,IND,0
1947,IND,2624
1948,IND,3322
1949,IND,3089
1950,IND,2196
1951,IND,3303
1952,IND,2893
1953,IND,2233
1954,IND,2373
1955,IND,2601
1956,IND,2854
1957,IND,3377
1958,IND,2984
1959,IND,3213
1960,IND,3563
1961,IND,3596
1962,IND,3701
1963,IND,4015
1964,IND,4353
1965,IND,4424
1966,IND,4331
1967,IND,4278
1968,IND,4255
1969,IND,3945
1970,IND,4119
1971,IND,4518
1972,IND,4673
1973,IND,6192
1974,IND,8955
1975,IND,10562
1976,IND,10121
1977,IND,12689
1978,IND,14445
1979,IND,17577
1980,IND,23262
1981,IND,21376
1982,IND,23906
1983,IND,21750
1984,IND,23346
1985,IND,24594
1986,IND,24187
1987,IND,27635
1988,IND,32227
1989,IND,35135
1990,IND,41803
1991,IND,37381
1992,IND,42427
1993,IND,42257
1994,IND,49679
1995,IND,65023
1996,IND,68378
1997,IND,75519
1998,IND,75827
1999,IND,83822
2000,IND,92962
2001,IND,93457
2002,IND,109409
2003,IND,135189
2004,IND,175221
2005,IND,237955
2006,IND,297133
2007,IND,388784
2008,IND,459164
2009,IND,422842
2010,IND,573704
2011,IND,772147
2012,IND,787674
2013,IND,783077
2014,IND,778246
1945,ITA,0
1946,ITA,1554
1947,ITA,2223
1948,ITA,2570
1949,ITA,2610
1950,ITA,2630
1951,ITA,3680
1952,ITA,3630
1953,ITA,3850
1954,ITA,4000
1955,ITA,4480
1956,ITA,5220
1957,ITA,6090
1958,ITA,5700
1959,ITA,6140
1960,ITA,8261
1961,ITA,9321
1962,ITA,10652
1963,ITA,12479
1964,ITA,13079
1965,ITA,14451
1966,ITA,16591
1967,ITA,18387
1968,ITA,20405
1969,ITA,24192
1970,ITA,28103
1971,ITA,30970
1972,ITA,37814
1973,ITA,50018
1974,ITA,71540
1975,ITA,73209
1976,ITA,80671
1977,ITA,93407
1978,ITA,112503
1979,ITA,150085
1980,ITA,177113
1981,ITA,166365
1982,ITA,159683
1983,ITA,153060
1984,ITA,157495
1985,ITA,170040
1986,ITA,197732
1987,ITA,241334
1988,ITA,267119
1989,ITA,293858
1990,ITA,352182
1991,ITA,352235
1992,ITA,364158
1993,ITA,315874
1994,ITA,357519
1995,ITA,438636
1996,ITA,457862
1997,ITA,446506
1998,ITA,458639
1999,ITA,455286
2000,ITA,471917
2001,ITA,473557
2002,ITA,494216
2003,ITA,597761
2004,ITA,708810
2005,ITA,757644
2006,ITA,859790
2007,ITA,1012079
2008,ITA,1095973
2009,ITA,821669
2010,ITA,898236
2011,ITA,1043646
2012,ITA,943867
2013,ITA,964353
2014,ITA,972634
1945,JAP,0
1946,JAP,0
1947,JAP,0
1948,JAP,0
1949,JAP,0
1950,JAP,0
1951,JAP,0
1952,JAP,3140
1953,JAP,3540
1954,JAP,3870
1955,JAP,4260
1956,JAP,5470
1957,JAP,6800
1958,JAP,5630
1959,JAP,6670
1960,JAP,8076
1961,JAP,9555
1962,JAP,10038
1963,JAP,11607
1964,JAP,13885
1965,JAP,15858
1966,JAP,18963
1967,JAP,21744
1968,JAP,25634
1969,JAP,30615
1970,JAP,37738
1971,JAP,43213
1972,JAP,52741
1973,JAP,75364
1974,JAP,117536
1975,JAP,113583
1976,JAP,132221
1977,JAP,152416
1978,JAP,178260
1979,JAP,212148
1980,JAP,271742
1981,JAP,294398
1982,JAP,270028
1983,JAP,273519
1984,JAP,305947
1985,JAP,307764
1986,JAP,338460
1987,JAP,382280
1988,JAP,452515
1989,JAP,484299
1990,JAP,523136
1991,JAP,551635
1992,JAP,572860
1993,JAP,604512
1994,JAP,669614
1995,JAP,779401
1996,JAP,761238
1997,JAP,760175
1998,JAP,668908
1999,JAP,730230
2000,JAP,857944
2001,JAP,752616
2002,JAP,753977
2003,JAP,854880
2004,JAP,1020645
2005,JAP,1110115
2006,JAP,1225543
2007,JAP,1336183
2008,JAP,1544639
2009,JAP,1132679
2010,JAP,1463824
2011,JAP,1677562
2012,JAP,1684656
2013,JAP,1546956
2014,JAP,1502396
1945,KOR,0
1946,KOR,0
1947,KOR,0
1948,KOR,0
1949,KOR,145
1950,KOR,77
1951,KOR,87
1952,KOR,242
1953,KOR,385
1954,KOR,267
1955,KOR,357
1956,KOR,409
1957,KOR,462
1958,KOR,389
1959,KOR,294
1960,KOR,310.9
1961,KOR,335.6
1962,KOR,471.4
1963,KOR,646.5
1964,KOR,520.2
1965,KOR,625.8
1966,KOR,965.5
1967,KOR,1315.3
1968,KOR,1922.9
1969,KOR,2446
1970,KOR,2827.3
1971,KOR,3467.8
1972,KOR,4150.6
1973,KOR,7469.2
1974,KOR,11326
1975,KOR,12363.7
1976,KOR,16408.3
1977,KOR,20853.9
1978,KOR,27568.4
1979,KOR,35211.8
1980,KOR,39502.1
1981,KOR,47424
1982,KOR,46077.3
1983,KOR,50655.3
1984,KOR,59887.2
1985,KOR,61349.1
1986,KOR,66532.6
1987,KOR,88341.9
1988,KOR,112516.7603
1989,KOR,120736.092
1990,KOR,142219.002
1991,KOR,154200.55
1992,KOR,160285.137
1993,KOR,172446.2
1994,KOR,203710.499
1995,KOR,266453.311
1996,KOR,287855.482
1997,KOR,288755.803
1998,KOR,226208.8255
1999,KOR,263659.2
2000,KOR,332748.5289
2001,KOR,291536.9363
2002,KOR,314447.5767
2003,KOR,372554.188
2004,KOR,478215.431
2005,KOR,545578.411
2006,KOR,634740.81
2007,KOR,728298.353
2008,KOR,857271.936
2009,KOR,686611.133
